r0(1, 4, 5, 0.2, 0.2, 0.2)
r1(0, 3, 2, 0.5, 0.5, 0.5)
r2(1, 4, 5, 0.2, 0.2, 0.2)
r3(1, 3, 0, 0.5, 0.5, 0.5)
s0(1.0,6.0,1.0,1.0,0,0,1,1,0,0,0,0,r0)
s1(2.0,6.0,1.0,1.0,1,0,1,0,0,1,0,0,r0)
s2(1.0,12.0,1.0,6.0,0,1,0,1,0,0,0,0,r0)
s3(1.0,13.0,1.0,1.0,1,0,0,1,0,0,0,0,r0)
s4(2.0,13.0,1.0,1.0,1,0,1,0,0,1,0,0,r0)
s5(3.0,7.0,1.0,1.0,1,0,0,1,0,0,0,0,r1)
s6(3.0,6.0,1.0,1.0,0,0,0,0,0,0,0,1,r1)
s7(3.0,5.0,1.0,1.0,0,0,1,1,0,0,0,0,r1)
s8(4.0,7.0,1.0,1.0,1,0,0,0,0,0,0,0,r1)
s9(4.0,6.0,1.0,1.0,0,0,0,0,0,0,0,0,r1)
s10(4.0,5.0,1.0,1.0,0,0,1,0,0,0,0,0,r1)
s11(5.0,7.0,1.0,1.0,0,0,0,0,1,0,0,0,r1)
s12(5.0,6.0,1.0,1.0,0,0,0,0,0,0,0,0,r1)
s13(5.0,5.0,1.0,1.0,0,0,1,0,0,0,0,0,r1)
s14(6.0,7.0,2.0,1.0,1,1,0,0,0,0,0,0,r1)
s15(6.0,6.0,2.0,1.0,0,1,0,0,0,0,0,0,r1)
s16(6.0,5.0,2.0,1.0,0,1,1,0,0,0,0,0,r1)
s17(5.0,11.0,1.0,4.0,0,1,0,1,1,0,1,0,r2)
s18(3.0,17.0,1.0,2.0,1,0,0,1,0,0,0,0,r3)
s19(4.0,17.0,1.0,2.0,1,0,1,0,0,0,0,0,r3)
s20(5.0,17.0,1.0,2.0,1,0,0,0,0,0,0,0,r3)
s21(6.0,17.0,1.0,2.0,1,0,1,0,0,0,0,0,r3)
s22(7.0,17.0,1.0,2.0,1,1,0,0,0,0,0,0,r3)
s23(3.0,15.0,1.0,2.0,0,1,0,1,0,0,0,0,r3)
s24(5.0,15.0,1.0,2.0,0,1,0,1,0,0,0,0,r3)
s25(7.0,15.0,1.0,2.0,0,1,0,1,0,0,0,0,r3)
s26(3.0,13.0,1.0,1.0,0,0,0,0,0,0,0,1,r3)
s27(4.0,13.0,1.0,1.0,1,0,0,0,0,0,0,0,r3)
s28(5.0,13.0,1.0,1.0,0,0,0,0,0,0,0,0,r3)
s29(6.0,13.0,1.0,1.0,1,0,0,0,0,0,0,0,r3)
s30(7.0,13.0,1.0,1.0,0,1,0,0,0,0,0,0,r3)
s31(3.0,12.0,1.0,1.0,0,0,1,1,0,0,0,0,r3)
s32(4.0,12.0,1.0,1.0,0,0,1,0,0,0,0,0,r3)
s33(5.0,12.0,1.0,1.0,0,0,0,0,0,0,1,0,r3)
s34(6.0,12.0,1.0,1.0,0,0,1,0,0,0,0,0,r3)
s35(7.0,12.0,1.0,1.0,0,1,1,0,0,0,0,0,r3)
p(1.5,5.5,45.0,r0)
